token,df,tf,cluster,cluster_centrality,svd_c1,rank_score
요리그램,5,5,3,8.260704156204309,0.33636621049111126,-0.5363914650395998
냉동,5,5,3,8.787621060529966,0.24992989156888762,-0.5399190811339183
볶아서,7,7,3,7.910048198568083,0.20428619661607145,-0.539933388600628
유치원도시락,9,9,3,7.736826381378527,0.052618556364860944,-0.540294243936702
냉동실에,6,6,1,7.781131614185724,0.3070576781518946,-0.5421736066265302
식사,5,6,1,8.492162602686879,0.24311547040413312,-0.5507098827318813
맞춤,5,6,3,8.717388037545724,0.20061660917754548,-0.554766185964679
빵,5,5,1,6.865608537787957,0.5000202755932631,-0.5569765373237677
콩나물,5,5,3,8.745055755168579,0.20119902041651397,-0.5652051072462252
사는,5,5,1,8.382433032516827,0.2549185848071333,-0.5654237037692078
손이,5,5,3,8.059155237608802,0.2997024700493158,-0.5670446394622739
김밥에,6,7,3,8.033248223708146,0.18490738890128858,-0.5683391037168927
Todays,7,7,3,8.204989908672168,0.0980892429413014,-0.568443212112153
음식을,5,5,3,8.822237287518236,0.16868537803842368,-0.5748336815602738
김밥을,6,6,3,7.967281330424828,0.20092589617926848,-0.5781162206694186
방울토마토,6,6,3,8.019125477529522,0.18894431967626626,-0.5800591509461861
깔고,5,5,3,7.328120090716967,0.3711758991401547,-0.5843863122820441
하니,5,5,1,8.149862205076284,0.24497458365154876,-0.5859411875150413
부랴부랴,5,5,5,8.278101099667355,0.22292752854883607,-0.5872635339493837
쌈밥,6,7,3,7.461454920889777,0.2254873873637071,-0.588936700961848
daily,5,5,3,8.38105137965455,0.19718211386144072,-0.5920180315426741
저녁은,8,9,3,6.342056647980691,0.20815097005203714,-0.5925469692642896
반찬을,7,8,3,6.979485239101856,0.19902534062901567,-0.5935768133884493
밥상,6,6,3,8.112912822007587,0.14495770450324966,-0.5938144306559094
아침부터,6,6,3,7.7485080591220195,0.19096468794642701,-0.5976951439650176
마음,6,6,1,6.914383684602044,0.31341620394780606,-0.5987107043542829
건강도시락,5,5,3,8.357682929036002,0.18521556080991747,-0.5991133546709047
단체도시락,8,8,3,6.9522594641269855,0.12588102042813532,-0.6010533730246016
즐겁고,5,5,3,7.355442511559651,0.31939444666526884,-0.6062784535864669
메추리알장조림,5,5,3,8.318769408694097,0.1653336648998324,-0.6109079467385672
instafoodobentagram,14,14,3,4.085001745131738,0.0008255563337572586,-0.6117341532023677
lunchfoodstagram,14,14,3,4.085001745131738,0.0008255563337572586,-0.6117341532023677
foodfoodphotography,14,14,3,4.085001745131738,0.0008255563337572586,-0.6117341532023677
소고기,7,8,3,6.298874100306607,0.25270733620675095,-0.6156254070326567
스트레스,6,6,3,7.373376947870731,0.1957549383138101,-0.6212290605521716
시금치무침,5,5,3,8.085097417799325,0.17639936933061534,-0.6218580526914586
닭갈비,5,5,3,8.139195514973027,0.15233088555378904,-0.6291939497236736
부추,5,6,3,7.853115450838672,0.16240596586331693,-0.6315895846224718
최애,8,8,1,5.479925862597568,0.26849076360745533,-0.6365954682833758
초등도시락,7,7,3,7.059731079118924,0.10901083245884052,-0.6419907329653765
감기,9,9,3,5.587353878230884,0.14054736013274632,-0.6473825447963436
맛도리,6,7,1,5.9040537003327085,0.32560810315270655,-0.6498154684124721
맛나게,7,7,3,6.682094247630644,0.14122738958039124,-0.6531085642998388
닭가슴살추천,5,5,3,6.569630283307822,0.32021650945433,-0.6598047745000423
브로콜리,6,6,3,6.450634557773618,0.23522368201205798,-0.666410421425923
자취생도시락,7,7,3,6.407061444200583,0.13963297262897623,-0.6727065285900625
맘에,6,6,3,7.163610188623439,0.09339584533683128,-0.6825984198132814
밥도둑,5,5,3,6.534355739606833,0.2695381535353962,-0.6854845283582134
나도,5,5,1,6.89896247636511,0.19964250210182735,-0.692554243237961
유치원,7,7,3,6.419476599691496,0.08560828525237407,-0.69665083662821
하나로,5,5,3,6.230234576446747,0.28544559637053557,-0.6990449371815612
아이도시락,6,6,3,6.800934959288231,0.10691360721067542,-0.7012722091148872
도시락싸는아내,7,7,3,5.920524475885322,0.13763485712604723,-0.706998133512178
mealprep,5,5,3,7.084028575085199,0.1275841491029126,-0.7129323636297398
사온,5,5,3,6.618724434271369,0.17193724041067657,-0.7244934710629857
새벽,6,6,3,6.43626435334098,0.09004477900859217,-0.7340295349344199
9월,5,5,5,5.812074659904958,0.2663293646235127,-0.7365029195108107
단체주문,5,5,3,6.777206968553601,0.11994006858755765,-0.7374875543446067
바삭하게,5,5,3,5.845539938947491,0.2564241468372471,-0.73875357268614
팝콘치킨,5,7,5,5.497277073314342,0.25203135709026375,-0.7394509528897745
tsuyakomama,5,9,3,6.79215090130173,0.0025085016372260933,-0.7399440031133973
쑤도시락,7,7,3,5.33120375472158,0.14202132419796756,-0.7454099405876611
wpdelijapan,10,10,3,4.478486375876216,0.0006288067637471433,-0.7470989926009808
매장,5,7,3,6.078598877943784,0.1437644989225076,-0.749266261679136
사랑해,5,5,3,6.761315936290764,0.09608761821119961,-0.7495252764742051
매운,5,6,3,6.0255180509412245,0.1783124154834338,-0.7496549239870194
